#Iter,info,#NNZ in L,#NNZ in U,LU MB,Total MB,Norm,RPG,RCN,dgssvx
0,0,1729541,2643364,47.254,91.991,8.209262E-09,0.1509398,3.638779E-07,1483671
1,0,1729541,2643364,47.254,91.991,8.209262E-09,0.1509398,3.638779E-07,1469003
2,0,1729541,2643364,47.254,91.991,8.209262E-09,0.1509398,3.638779E-07,1460915
3,0,1729541,2643364,47.254,91.991,8.209262E-09,0.1509398,3.638779E-07,1451293
4,0,1729541,2643364,47.254,91.991,8.209262E-09,0.1509398,3.638779E-07,1442519
5,0,1729541,2643364,47.254,91.991,8.209262E-09,0.1509398,3.638779E-07,1453509
6,0,1729541,2643364,47.254,91.991,8.209262E-09,0.1509398,3.638779E-07,1464611
7,0,1729541,2643364,47.254,91.991,8.209262E-09,0.1509398,3.638779E-07,1445814
8,0,1729541,2643364,47.254,91.991,8.209262E-09,0.1509398,3.638779E-07,1446827
9,0,1729541,2643364,47.254,91.991,8.209262E-09,0.1509398,3.638779E-07,1456678
10,0,1729541,2643364,47.254,91.991,8.209262E-09,0.1509398,3.638779E-07,1442575
