#Iter,info,#NNZ in L,#NNZ in U,LU MB,Total MB,Norm,RPG,RCN,dgssvx
0,0,14824537,14614043,309.217,353.954,8.209262E-09,0.1253363,3.638779E-07,28717041
1,0,14824537,14614043,309.217,353.954,8.209262E-09,0.1253363,3.638779E-07,28654636
2,0,14824537,14614043,309.217,353.954,8.209262E-09,0.1253363,3.638779E-07,28610800
3,0,14824537,14614043,309.217,353.954,8.209262E-09,0.1253363,3.638779E-07,28563157
4,0,14824537,14614043,309.217,353.954,8.209262E-09,0.1253363,3.638779E-07,28591936
5,0,14824537,14614043,309.217,353.954,8.209262E-09,0.1253363,3.638779E-07,28611549
6,0,14824537,14614043,309.217,353.954,8.209262E-09,0.1253363,3.638779E-07,28562534
7,0,14824537,14614043,309.217,353.954,8.209262E-09,0.1253363,3.638779E-07,28625235
8,0,14824537,14614043,309.217,353.954,8.209262E-09,0.1253363,3.638779E-07,28615872
9,0,14824537,14614043,309.217,353.954,8.209262E-09,0.1253363,3.638779E-07,28636744
10,0,14824537,14614043,309.217,353.954,8.209262E-09,0.1253363,3.638779E-07,28614326
