#Threads,#Iter,info,#NNZ in L,#NNZ in U,LU MB,Total MB,Norm,RPG,RCN,pdgssvx
1,0,0,1909692,2869888,59.43,112.712,8.209262E-09,0.1510602,3.638779E-07,1039301
1,1,0,1909692,2869888,59.43,112.712,8.209262E-09,0.1510602,3.638779E-07,1018545
1,2,0,1909692,2869888,59.43,112.712,8.209262E-09,0.1510602,3.638779E-07,1025523
1,3,0,1909692,2869888,59.43,112.712,8.209262E-09,0.1510602,3.638779E-07,1017067
1,4,0,1909692,2869888,59.43,112.712,8.209262E-09,0.1510602,3.638779E-07,1015636
1,5,0,1909692,2869888,59.43,112.712,8.209262E-09,0.1510602,3.638779E-07,1023650
1,6,0,1909692,2869888,59.43,112.712,8.209262E-09,0.1510602,3.638779E-07,1028018
1,7,0,1909692,2869888,59.43,112.712,8.209262E-09,0.1510602,3.638779E-07,1018142
1,8,0,1909692,2869888,59.43,112.712,8.209262E-09,0.1510602,3.638779E-07,1021162
1,9,0,1909692,2869888,59.43,112.712,8.209262E-09,0.1510602,3.638779E-07,1022420
1,10,0,1909692,2869888,59.43,112.712,8.209262E-09,0.1510602,3.638779E-07,1019777
2,0,0,1913126,2869907,59.431,158.959,8.209262E-09,0.1510602,3.638779E-07,823617
2,1,0,1913126,2869907,59.431,158.959,8.209262E-09,0.1510602,3.638779E-07,814165
2,2,0,1913126,2869907,59.431,158.959,8.209262E-09,0.1510602,3.638779E-07,809066
2,3,0,1913126,2869907,59.431,158.959,8.209262E-09,0.1510602,3.638779E-07,811996
2,4,0,1913126,2869907,59.431,158.959,8.209262E-09,0.1510602,3.638779E-07,808804
2,5,0,1913126,2869907,59.431,158.959,8.209262E-09,0.1510602,3.638779E-07,812176
2,6,0,1913126,2869907,59.431,158.959,8.209262E-09,0.1510602,3.638779E-07,811072
2,7,0,1913126,2869907,59.431,158.959,8.209262E-09,0.1510602,3.638779E-07,807140
2,8,0,1913126,2869907,59.431,158.959,8.209262E-09,0.1510602,3.638779E-07,812684
2,9,0,1913126,2869907,59.431,158.959,8.209262E-09,0.1510602,3.638779E-07,810370
2,10,0,1913126,2869907,59.431,158.959,8.209262E-09,0.1510602,3.638779E-07,808883
3,0,0,1932078,2875772,59.347,205.12,8.209262E-09,0.1510602,3.638779E-07,708943
3,1,0,1932601,2877376,59.362,205.135,8.209262E-09,0.1510602,3.638779E-07,732139
3,2,0,1928855,2876205,59.374,205.146,8.209262E-09,0.1510602,3.638779E-07,743211
3,3,0,1929067,2877172,59.391,205.163,8.209262E-09,0.1510602,3.638779E-07,736126
3,4,0,1932731,2877532,59.352,205.124,8.209262E-09,0.1510602,3.638779E-07,738798
3,5,0,1932227,2877107,59.371,205.143,8.209262E-09,0.1510602,3.638779E-07,684101
3,6,0,1929106,2876500,59.358,205.13,8.209262E-09,0.1510602,3.638779E-07,740443
3,7,0,1930441,2877342,59.395,205.167,8.209262E-09,0.1510602,3.638779E-07,743750
3,8,0,1929596,2876732,59.388,205.161,8.209262E-09,0.1510602,3.638779E-07,738981
3,9,0,1931359,2877099,59.355,205.127,8.209262E-09,0.1510602,3.638779E-07,746725
3,10,0,1927871,2876577,59.399,205.171,8.209262E-09,0.1510602,3.638779E-07,746760
4,0,0,1949712,2882680,59.381,251.398,8.209262E-09,0.1510602,3.638779E-07,724576
4,1,0,1949815,2882362,59.375,251.392,8.209262E-09,0.1510602,3.638779E-07,657953
