#Threads,#Iter,info,#NNZ in L,#NNZ in U,LU MB,Total MB,Norm,RPG,RCN,pdgssvx
1,0,0,1611471,2331708,50.286,103.568,8.209262E-09,0.1508722,3.638779E-07,1210306
1,1,0,1611471,2331708,50.286,103.568,8.209262E-09,0.1508722,3.638779E-07,1197709
1,2,0,1611471,2331708,50.286,103.568,8.209262E-09,0.1508722,3.638779E-07,1192920
1,3,0,1611471,2331708,50.286,103.568,8.209262E-09,0.1508722,3.638779E-07,1190333
1,4,0,1611471,2331708,50.286,103.568,8.209262E-09,0.1508722,3.638779E-07,1200352
1,5,0,1611471,2331708,50.286,103.568,8.209262E-09,0.1508722,3.638779E-07,1193720
1,6,0,1611471,2331708,50.286,103.568,8.209262E-09,0.1508722,3.638779E-07,1197185
1,7,0,1611471,2331708,50.286,103.568,8.209262E-09,0.1508722,3.638779E-07,1193076
1,8,0,1611471,2331708,50.286,103.568,8.209262E-09,0.1508722,3.638779E-07,1194557
1,9,0,1611471,2331708,50.286,103.568,8.209262E-09,0.1508722,3.638779E-07,1193692
1,10,0,1611471,2331708,50.286,103.568,8.209262E-09,0.1508722,3.638779E-07,1192782
2,0,0,1615417,2332241,50.168,149.696,8.209262E-09,0.1508722,3.638779E-07,1025906
2,1,0,1615417,2332241,50.168,149.696,8.209262E-09,0.1508722,3.638779E-07,1006116
2,2,0,1615417,2332241,50.168,149.696,8.209262E-09,0.1508722,3.638779E-07,1009901
2,3,0,1615417,2332241,50.168,149.696,8.209262E-09,0.1508722,3.638779E-07,1011692
2,4,0,1615417,2332241,50.168,149.696,8.209262E-09,0.1508722,3.638779E-07,1010945
2,5,0,1615417,2332241,50.168,149.696,8.209262E-09,0.1508722,3.638779E-07,1009856
2,6,0,1615417,2332241,50.168,149.696,8.209262E-09,0.1508722,3.638779E-07,1009919
2,7,0,1615417,2332241,50.168,149.696,8.209262E-09,0.1508722,3.638779E-07,1009970
2,8,0,1615417,2332241,50.168,149.696,8.209262E-09,0.1508722,3.638779E-07,1011721
2,9,0,1615417,2332241,50.168,149.696,8.209262E-09,0.1508722,3.638779E-07,1010081
2,10,0,1615417,2332241,50.168,149.696,8.209262E-09,0.1508722,3.638779E-07,1010505
3,0,0,1634074,2336605,49.978,195.75,8.209262E-09,0.1508722,3.638779E-07,974260
3,1,0,1633145,2334888,49.955,195.727,8.209262E-09,0.1508722,3.638779E-07,958603
3,2,0,1634285,2336430,49.977,195.75,8.209262E-09,0.1508722,3.638779E-07,959515
3,3,0,1633134,2335941,49.981,195.754,8.209262E-09,0.1508722,3.638779E-07,955100
3,4,0,1634285,2336358,49.976,195.749,8.209262E-09,0.1508722,3.638779E-07,957991
3,5,0,1634285,2336358,49.976,195.749,8.209262E-09,0.1508722,3.638779E-07,957166
3,6,0,1633134,2335941,49.981,195.754,8.209262E-09,0.1508722,3.638779E-07,957866
3,7,0,1633615,2335943,49.961,195.733,8.209262E-09,0.1508722,3.638779E-07,959470
3,8,0,1633615,2336033,49.962,195.735,8.209262E-09,0.1508722,3.638779E-07,957043
3,9,0,1633404,2336208,49.962,195.735,8.209262E-09,0.1508722,3.638779E-07,955672
3,10,0,1633134,2336031,49.982,195.755,8.209262E-09,0.1508722,3.638779E-07,958596
4,0,0,1637760,2335348,49.94,241.957,8.209262E-09,0.1508722,3.638779E-07,957304
4,1,0,1639018,2335679,49.934,241.952,8.209262E-09,0.1508722,3.638779E-07,935350
4,2,0,1638911,2335754,49.935,241.952,8.209262E-09,0.1508722,3.638779E-07,938648
4,3,0,1638919,2335754,49.935,241.952,8.209262E-09,0.1508722,3.638779E-07,937212
4,4,0,1638919,2335679,49.934,241.951,8.209262E-09,0.1508722,3.638779E-07,937530
4,5,0,1638911,2335754,49.935,241.952,8.209262E-09,0.1508722,3.638779E-07,937817
4,6,0,1638919,2335679,49.934,241.951,8.209262E-09,0.1508722,3.638779E-07,936282
4,7,0,1638919,2335661,49.933,241.951,8.209262E-09,0.1508722,3.638779E-07,934906
4,8,0,1638524,2335256,49.961,241.978,8.209262E-09,0.1508722,3.638779E-07,937499
4,9,0,1638919,2335754,49.935,241.952,8.209262E-09,0.1508722,3.638779E-07,936126
4,10,0,1638564,2335676,49.933,241.95,8.209262E-09,0.1508722,3.638779E-07,937713
5,0,0,1639659,2333475,49.911,288.173,8.209261E-09,0.1508722,3.638779E-07,994166
5,1,0,1641531,2333770,49.912,288.174,8.209261E-09,0.1508722,3.638779E-07,974124
5,2,0,1639251,2333456,49.914,288.176,8.209261E-09,0.1508722,3.638779E-07,975483
5,3,0,1641123,2333790,49.915,288.178,8.209261E-09,0.1508722,3.638779E-07,975934
5,4,0,1639251,2333446,49.914,288.176,8.209261E-09,0.1508722,3.638779E-07,976976
5,5,0,1641424,2333790,49.911,288.174,8.209261E-09,0.1508722,3.638779E-07,976016
5,6,0,1641424,2333770,49.911,288.174,8.209261E-09,0.1508722,3.638779E-07,974317
5,7,0,1640879,2333801,49.915,288.177,8.209261E-09,0.1508722,3.638779E-07,974440
5,8,0,1641424,2333770,49.911,288.174,8.209261E-09,0.1508722,3.638779E-07,975274
5,9,0,1639796,2333464,49.91,288.173,8.209261E-09,0.1508722,3.638779E-07,975410
5,10,0,1641424,2333770,49.911,288.174,8.209261E-09,0.1508722,3.638779E-07,973078
6,0,0,1640305,2334258,49.919,334.427,8.209262E-09,0.1508722,3.638779E-07,994845
6,1,0,1640846,2334275,49.924,334.432,8.209262E-09,0.1508722,3.638779E-07,972147
6,2,0,1640414,2334276,49.921,334.428,8.209262E-09,0.1508722,3.638779E-07,969775
6,3,0,1640737,2334611,49.927,334.435,8.209262E-09,0.1508722,3.638779E-07,971842
6,4,0,1640855,2334593,49.928,334.436,8.209262E-09,0.1508722,3.638779E-07,971196
6,5,0,1640737,2334204,49.922,334.43,8.209262E-09,0.1508722,3.638779E-07,969930
6,6,0,1640737,2334593,49.927,334.435,8.209262E-09,0.1508722,3.638779E-07,971621
6,7,0,1640855,2334593,49.928,334.436,8.209262E-09,0.1508722,3.638779E-07,974378
