#Iter,info,#NNZ in L,#NNZ in U,LU MB,Total MB,Norm,RPG,RCN,dgssvx
0,0,495102,706458,12.966,24.253,9.54953E-09,0.2126318,3.707492E-07,287225
1,0,495102,706458,12.966,24.253,9.54953E-09,0.2126318,3.707492E-07,213849
2,0,495102,706458,12.966,24.253,9.54953E-09,0.2126318,3.707492E-07,210737
3,0,495102,706458,12.966,24.253,9.54953E-09,0.2126318,3.707492E-07,222330
4,0,495102,706458,12.966,24.253,9.54953E-09,0.2126318,3.707492E-07,222801
5,0,495102,706458,12.966,24.253,9.54953E-09,0.2126318,3.707492E-07,220973
6,0,495102,706458,12.966,24.253,9.54953E-09,0.2126318,3.707492E-07,221494
7,0,495102,706458,12.966,24.253,9.54953E-09,0.2126318,3.707492E-07,222087
8,0,495102,706458,12.966,24.253,9.54953E-09,0.2126318,3.707492E-07,211041
9,0,495102,706458,12.966,24.253,9.54953E-09,0.2126318,3.707492E-07,209310
10,0,495102,706458,12.966,24.253,9.54953E-09,0.2126318,3.707492E-07,209356
