#MPI Procs,nrow,ncol,#Iter,INFO,Norm,pdgssvx_Abglobal
1,1,1,0,0,9.54953E-09,544401
1,1,1,1,0,9.54953E-09,535127
1,1,1,2,0,9.54953E-09,535203
1,1,1,3,0,9.54953E-09,523628
1,1,1,4,0,9.54953E-09,523400
2,1,2,0,0,9.54953E-09,467370
2,1,2,1,0,9.54953E-09,452586
2,1,2,2,0,9.54953E-09,454213
2,1,2,3,0,9.54953E-09,439332
2,1,2,4,0,9.54953E-09,440191
3,1,3,0,0,9.54953E-09,421158
3,1,3,1,0,9.54953E-09,405294
3,1,3,2,0,9.54953E-09,405068
3,1,3,3,0,9.54953E-09,392370
3,1,3,4,0,9.54953E-09,391880
4,1,4,0,0,9.54953E-09,391507
4,1,4,1,0,9.54953E-09,373442
4,1,4,2,0,9.54953E-09,372569
4,1,4,3,0,9.54953E-09,361645
4,1,4,4,0,9.54953E-09,360558
2,2,1,0,0,9.54953E-09,484636
2,2,1,1,0,9.54953E-09,471541
2,2,1,2,0,9.54953E-09,471653
2,2,1,3,0,9.54953E-09,465286
2,2,1,4,0,9.54953E-09,466743
4,2,2,0,0,9.54953E-09,409680
4,2,2,1,0,9.54953E-09,394520
4,2,2,2,0,9.54953E-09,394344
4,2,2,3,0,9.54953E-09,388776
4,2,2,4,0,9.54953E-09,389465
6,2,3,0,0,9.54953E-09,357204
6,2,3,1,0,9.54953E-09,337587
6,2,3,2,0,9.54953E-09,336114
6,2,3,3,0,9.54953E-09,331065
6,2,3,4,0,9.54953E-09,331149
8,2,4,0,0,9.54953E-09,339808
8,2,4,1,0,9.54953E-09,321212
8,2,4,2,0,9.54953E-09,320472
8,2,4,3,0,9.54953E-09,314091
8,2,4,4,0,9.54953E-09,313238
3,3,1,0,0,9.54953E-09,442167
3,3,1,1,0,9.54953E-09,417847
3,3,1,2,0,9.54953E-09,415896
3,3,1,3,0,9.54953E-09,412084
3,3,1,4,0,9.54953E-09,416350
6,3,2,0,0,9.54953E-09,361358
6,3,2,1,0,9.54953E-09,341394
6,3,2,2,0,9.54953E-09,340857
6,3,2,3,0,9.54953E-09,337067
6,3,2,4,0,9.54953E-09,336764
9,3,3,0,0,9.54953E-09,348885
9,3,3,1,0,9.54953E-09,331760
9,3,3,2,0,9.54953E-09,331425
9,3,3,3,0,9.54953E-09,327469
9,3,3,4,0,9.54953E-09,327119
12,3,4,0,0,9.54953E-09,304628
12,3,4,1,0,9.54953E-09,281754
12,3,4,2,0,9.54953E-09,279645
12,3,4,3,0,9.54953E-09,276452
12,3,4,4,0,9.54953E-09,277095
4,4,1,0,0,9.54953E-09,404994
4,4,1,1,0,9.54953E-09,388355
4,4,1,2,0,9.54953E-09,388103
4,4,1,3,0,9.54953E-09,385545
4,4,1,4,0,9.54953E-09,387490
8,4,2,0,0,9.54953E-09,359783
8,4,2,1,0,9.54953E-09,341764
8,4,2,2,0,9.54953E-09,341761
8,4,2,3,0,9.54953E-09,338292
8,4,2,4,0,9.54953E-09,338086
12,4,3,0,0,9.54953E-09,308314
12,4,3,1,0,9.54953E-09,286611
12,4,3,2,0,9.54953E-09,287408
12,4,3,3,0,9.54953E-09,283382
12,4,3,4,0,9.54953E-09,282652
16,4,4,0,0,9.54953E-09,282377
16,4,4,1,0,9.54953E-09,260154
16,4,4,2,0,9.54953E-09,259796
16,4,4,3,0,9.54953E-09,258483
16,4,4,4,0,9.54953E-09,256655
24,4,6,0,0,9.54953E-09,291414
24,4,6,1,0,9.54953E-09,264257
24,4,6,2,0,9.54953E-09,263875
24,4,6,3,0,9.54953E-09,262805
24,4,6,4,0,9.54953E-09,262425
18,2,9,0,0,9.54953E-09,301937
18,2,9,1,0,9.54953E-09,277282
18,2,9,2,0,9.54953E-09,273810
18,2,9,3,0,9.54953E-09,276069
18,2,9,4,0,9.54953E-09,268544
20,5,4,0,0,9.54953E-09,300006
20,5,4,1,0,9.54953E-09,272826
20,5,4,2,0,9.54953E-09,272298
20,5,4,3,0,9.54953E-09,269325
20,5,4,4,0,9.54953E-09,268246
20,4,5,0,0,9.54953E-09,293666
20,4,5,1,0,9.54953E-09,270379
20,4,5,2,0,9.54953E-09,266817
20,4,5,3,0,9.54953E-09,264569
20,4,5,4,0,9.54953E-09,264440
20,2,10,0,0,9.54953E-09,303146
20,2,10,1,0,9.54953E-09,276677
20,2,10,2,0,9.54953E-09,270918
20,2,10,3,0,9.54953E-09,277037
20,2,10,4,0,9.54953E-09,271416
22,2,11,0,0,9.54953E-09,293242
22,2,11,1,0,9.54953E-09,265971
22,2,11,2,0,9.54953E-09,264420
22,2,11,3,0,9.54953E-09,265264
22,2,11,4,0,9.54953E-09,258727
