#MPI Procs,nrow,ncol,#Iter,INFO,Norm,pdgssvx_Abglobal
1,1,1,0,0,9.54953E-09,824980
1,1,1,1,0,9.54953E-09,822808
1,1,1,2,0,9.54953E-09,827790
1,1,1,3,0,9.54953E-09,814956
1,1,1,4,0,9.54953E-09,806228
2,1,2,0,0,9.54953E-09,657683
2,1,2,1,0,9.54953E-09,655648
2,1,2,2,0,9.54953E-09,653006
2,1,2,3,0,9.54953E-09,642283
2,1,2,4,0,9.54953E-09,637813
3,1,3,0,0,9.54953E-09,484250
3,1,3,1,0,9.54953E-09,479020
3,1,3,2,0,9.54953E-09,477241
3,1,3,3,0,9.54953E-09,464287
3,1,3,4,0,9.54953E-09,464469
4,1,4,0,0,9.54953E-09,463624
4,1,4,1,0,9.54953E-09,454576
4,1,4,2,0,9.54953E-09,454653
4,1,4,3,0,9.54953E-09,442314
4,1,4,4,0,9.54953E-09,439789
2,2,1,0,0,9.54953E-09,669436
2,2,1,1,0,9.54953E-09,661560
2,2,1,2,0,9.54953E-09,662042
2,2,1,3,0,9.54953E-09,657157
2,2,1,4,0,9.54953E-09,652057
4,2,2,0,0,9.54953E-09,545207
4,2,2,1,0,9.54953E-09,538858
4,2,2,2,0,9.54953E-09,539248
4,2,2,3,0,9.54953E-09,535608
4,2,2,4,0,9.54953E-09,534492
6,2,3,0,0,9.54953E-09,405678
6,2,3,1,0,9.54953E-09,396749
6,2,3,2,0,9.54953E-09,394238
6,2,3,3,0,9.54953E-09,388036
6,2,3,4,0,9.54953E-09,389807
8,2,4,0,0,9.54953E-09,406670
8,2,4,1,0,9.54953E-09,386308
8,2,4,2,0,9.54953E-09,388655
8,2,4,3,0,9.54953E-09,380780
8,2,4,4,0,9.54953E-09,380403
3,3,1,0,0,9.54953E-09,523426
3,3,1,1,0,9.54953E-09,519278
3,3,1,2,0,9.54953E-09,519740
3,3,1,3,0,9.54953E-09,514110
3,3,1,4,0,9.54953E-09,517025
6,3,2,0,0,9.54953E-09,432421
6,3,2,1,0,9.54953E-09,416169
6,3,2,2,0,9.54953E-09,416311
6,3,2,3,0,9.54953E-09,410751
6,3,2,4,0,9.54953E-09,410532
9,3,3,0,0,9.54953E-09,376759
9,3,3,1,0,9.54953E-09,362846
9,3,3,2,0,9.54953E-09,362011
9,3,3,3,0,9.54953E-09,358689
9,3,3,4,0,9.54953E-09,359147
12,3,4,0,0,9.54953E-09,341414
12,3,4,1,0,9.54953E-09,320605
12,3,4,2,0,9.54953E-09,319984
12,3,4,3,0,9.54953E-09,316733
12,3,4,4,0,9.54953E-09,314784
4,4,1,0,0,9.54953E-09,490914
4,4,1,1,0,9.54953E-09,480804
4,4,1,2,0,9.54953E-09,479172
4,4,1,3,0,9.54953E-09,476615
4,4,1,4,0,9.54953E-09,479143
8,4,2,0,0,9.54953E-09,423786
8,4,2,1,0,9.54953E-09,410793
8,4,2,2,0,9.54953E-09,410402
8,4,2,3,0,9.54953E-09,408790
8,4,2,4,0,9.54953E-09,407702
12,4,3,0,0,9.54953E-09,339209
12,4,3,1,0,9.54953E-09,320139
12,4,3,2,0,9.54953E-09,319193
12,4,3,3,0,9.54953E-09,316381
12,4,3,4,0,9.54953E-09,315602
16,4,4,0,0,9.54953E-09,325652
16,4,4,1,0,9.54953E-09,303623
16,4,4,2,0,9.54953E-09,303424
16,4,4,3,0,9.54953E-09,301400
16,4,4,4,0,9.54953E-09,299177
