#MPI Procs,nrow,ncol,#Iter,INFO,Norm,pdgssvx_Abglobal
1,1,1,0,0,9.54953E-09,1783279
1,1,1,1,0,9.54953E-09,1781196
1,1,1,2,0,9.54953E-09,1767788
1,1,1,3,0,9.54953E-09,1758097
1,1,1,4,0,9.54953E-09,1774292
2,1,2,0,0,9.54953E-09,1589625
2,1,2,1,0,9.54953E-09,1577907
2,1,2,2,0,9.54953E-09,1570814
2,1,2,3,0,9.54953E-09,1559120
2,1,2,4,0,9.54953E-09,1557499
3,1,3,0,0,9.54953E-09,815672
3,1,3,1,0,9.54953E-09,793256
3,1,3,2,0,9.54953E-09,793626
3,1,3,3,0,9.54953E-09,778660
3,1,3,4,0,9.54953E-09,780981
4,1,4,0,0,9.54953E-09,1637911
4,1,4,1,0,9.54953E-09,1614065
4,1,4,2,0,9.54953E-09,1614728
4,1,4,3,0,9.54953E-09,1598702
4,1,4,4,0,9.54953E-09,1600173
2,2,1,0,0,9.54953E-09,1589542
2,2,1,1,0,9.54953E-09,1575120
2,2,1,2,0,9.54953E-09,1576877
2,2,1,3,0,9.54953E-09,1568338
2,2,1,4,0,9.54953E-09,1573711
4,2,2,0,0,9.54953E-09,1357734
4,2,2,1,0,9.54953E-09,1334525
4,2,2,2,0,9.54953E-09,1333345
4,2,2,3,0,9.54953E-09,1329029
4,2,2,4,0,9.54953E-09,1331924
6,2,3,0,0,9.54953E-09,687095
6,2,3,1,0,9.54953E-09,661772
6,2,3,2,0,9.54953E-09,661970
6,2,3,3,0,9.54953E-09,655734
6,2,3,4,0,9.54953E-09,656490
8,2,4,0,0,9.54953E-09,1357651
8,2,4,1,0,9.54953E-09,1333218
8,2,4,2,0,9.54953E-09,1341573
8,2,4,3,0,9.54953E-09,1334278
8,2,4,4,0,9.54953E-09,1335791
3,3,1,0,0,9.54953E-09,884828
3,3,1,1,0,9.54953E-09,866156
3,3,1,2,0,9.54953E-09,864274
3,3,1,3,0,9.54953E-09,864492
3,3,1,4,0,9.54953E-09,864681
6,3,2,0,0,9.54953E-09,753197
6,3,2,1,0,9.54953E-09,729961
6,3,2,2,0,9.54953E-09,729160
6,3,2,3,0,9.54953E-09,725413
6,3,2,4,0,9.54953E-09,728923
9,3,3,0,0,9.54953E-09,492672
9,3,3,1,0,9.54953E-09,472317
9,3,3,2,0,9.54953E-09,471729
9,3,3,3,0,9.54953E-09,468646
9,3,3,4,0,9.54953E-09,468620
12,3,4,0,0,9.54953E-09,719900
12,3,4,1,0,9.54953E-09,693540
12,3,4,2,0,9.54953E-09,693138
12,3,4,3,0,9.54953E-09,688764
12,3,4,4,0,9.54953E-09,692695
4,4,1,0,0,9.54953E-09,1539901
4,4,1,1,0,9.54953E-09,1529216
4,4,1,2,0,9.54953E-09,1522264
4,4,1,3,0,9.54953E-09,1520986
4,4,1,4,0,9.54953E-09,1524827
8,4,2,0,0,9.54953E-09,1306568
8,4,2,1,0,9.54953E-09,1292226
8,4,2,2,0,9.54953E-09,1289411
8,4,2,3,0,9.54953E-09,1287591
8,4,2,4,0,9.54953E-09,1290754
12,4,3,0,0,9.54953E-09,633002
12,4,3,1,0,9.54953E-09,609400
12,4,3,2,0,9.54953E-09,606746
12,4,3,3,0,9.54953E-09,603625
12,4,3,4,0,9.54953E-09,604502
16,4,4,0,0,9.54953E-09,1212719
16,4,4,1,0,9.54953E-09,1199713
16,4,4,2,0,9.54953E-09,1194894
16,4,4,3,0,9.54953E-09,1190846
16,4,4,4,0,9.54953E-09,1190864
