#Iter,info,#NNZ in L,#NNZ in U,LU MB,Total MB,Norm,RPG,RCN,dgssvx
0,0,8922923,12654575,243.384,254.671,9.549531E-09,0.5,3.707492E-07,8415123
1,0,8922923,12654575,243.384,254.671,9.549531E-09,0.5,3.707492E-07,8396605
2,0,8922923,12654575,243.384,254.671,9.549531E-09,0.5,3.707492E-07,8366727
3,0,8922923,12654575,243.384,254.671,9.549531E-09,0.5,3.707492E-07,8364782
4,0,8922923,12654575,243.384,254.671,9.549531E-09,0.5,3.707492E-07,8380685
5,0,8922923,12654575,243.384,254.671,9.549531E-09,0.5,3.707492E-07,8402907
6,0,8922923,12654575,243.384,254.671,9.549531E-09,0.5,3.707492E-07,8397901
7,0,8922923,12654575,243.384,254.671,9.549531E-09,0.5,3.707492E-07,8398473
8,0,8922923,12654575,243.384,254.671,9.549531E-09,0.5,3.707492E-07,8395813
9,0,8922923,12654575,243.384,254.671,9.549531E-09,0.5,3.707492E-07,8395668
10,0,8922923,12654575,243.384,254.671,9.549531E-09,0.5,3.707492E-07,8384866
