#Iter,info,#NNZ in L,#NNZ in U,LU MB,Total MB,Norm,RPG,RCN,dgssvx
0,0,1204587,1200320,25.219,36.507,9.549531E-09,0.2529572,3.707492E-07,746761
1,0,1204587,1200320,25.219,36.507,9.549531E-09,0.2529572,3.707492E-07,740809
2,0,1204587,1200320,25.219,36.507,9.549531E-09,0.2529572,3.707492E-07,747134
3,0,1204587,1200320,25.219,36.507,9.549531E-09,0.2529572,3.707492E-07,745799
4,0,1204587,1200320,25.219,36.507,9.549531E-09,0.2529572,3.707492E-07,749555
5,0,1204587,1200320,25.219,36.507,9.549531E-09,0.2529572,3.707492E-07,750655
6,0,1204587,1200320,25.219,36.507,9.549531E-09,0.2529572,3.707492E-07,746424
7,0,1204587,1200320,25.219,36.507,9.549531E-09,0.2529572,3.707492E-07,748893
8,0,1204587,1200320,25.219,36.507,9.549531E-09,0.2529572,3.707492E-07,746166
9,0,1204587,1200320,25.219,36.507,9.549531E-09,0.2529572,3.707492E-07,749168
10,0,1204587,1200320,25.219,36.507,9.549531E-09,0.2529572,3.707492E-07,746728
