#Threads,#Iter,info,#NNZ in L,#NNZ in U,LU MB,Total MB,Norm,RPG,RCN,pdgssvx
1,0,0,1155373,1138521,35.22,48.664,9.54953E-09,0.2529477,3.707492E-07,784258
1,1,0,1155373,1138521,35.22,48.664,9.54953E-09,0.2529477,3.707492E-07,777933
1,2,0,1155373,1138521,35.22,48.664,9.54953E-09,0.2529477,3.707492E-07,774324
1,3,0,1155373,1138521,35.22,48.664,9.54953E-09,0.2529477,3.707492E-07,771819
1,4,0,1155373,1138521,35.22,48.664,9.54953E-09,0.2529477,3.707492E-07,773796
1,5,0,1155373,1138521,35.22,48.664,9.54953E-09,0.2529477,3.707492E-07,772360
1,6,0,1155373,1138521,35.22,48.664,9.54953E-09,0.2529477,3.707492E-07,772355
1,7,0,1155373,1138521,35.22,48.664,9.54953E-09,0.2529477,3.707492E-07,777063
1,8,0,1155373,1138521,35.22,48.664,9.54953E-09,0.2529477,3.707492E-07,771816
1,9,0,1155373,1138521,35.22,48.664,9.54953E-09,0.2529477,3.707492E-07,775624
1,10,0,1155373,1138521,35.22,48.664,9.54953E-09,0.2529477,3.707492E-07,771163
,,,,,,,,,,
2,0,0,1716670,1530610,40.898,66.009,9.54953E-09,0.2529477,3.707492E-07,826463
2,1,0,1716499,1530627,40.897,66.008,9.54953E-09,0.2529477,3.707492E-07,808620
2,2,0,1716499,1530619,40.897,66.008,9.54953E-09,0.2529477,3.707492E-07,808313
2,3,0,1716499,1530626,40.897,66.008,9.54953E-09,0.2529477,3.707492E-07,805572
2,4,0,1716499,1530630,40.897,66.008,9.54953E-09,0.2529477,3.707492E-07,826879
2,5,0,1716499,1530621,40.897,66.008,9.54953E-09,0.2529477,3.707492E-07,806301
2,6,0,1716499,1530626,40.897,66.008,9.54953E-09,0.2529477,3.707492E-07,816095
2,7,0,1716499,1530621,40.897,66.008,9.54953E-09,0.2529477,3.707492E-07,814941
2,8,0,1716493,1530630,40.897,66.008,9.54953E-09,0.2529477,3.707492E-07,825318
2,9,0,1716499,1530629,40.897,66.008,9.54953E-09,0.2529477,3.707492E-07,825674
2,10,0,1716499,1530626,40.897,66.008,9.54953E-09,0.2529477,3.707492E-07,808207
,,,,,,,,,,
3,0,0,1696861,1519056,40.668,77.447,9.54953E-09,0.2529477,3.707492E-07,647581
3,1,0,1722548,1541295,41.028,77.807,9.54953E-09,0.2529477,3.707492E-07,648697
3,2,0,1724901,1545432,41.097,77.876,9.54953E-09,0.2529477,3.707492E-07,642906
3,3,0,1722487,1541036,41.025,77.804,9.54953E-09,0.2529477,3.707492E-07,663441
3,4,0,1725021,1545470,41.098,77.877,9.54953E-09,0.2529477,3.707492E-07,645239
3,5,0,1722548,1539854,41.011,77.79,9.54953E-09,0.2529477,3.707492E-07,644534
3,6,0,1722560,1540223,41.016,77.795,9.54953E-09,0.2529476,3.707492E-07,677643
3,7,0,1722490,1541170,41.026,77.805,9.54953E-09,0.2529477,3.707492E-07,644445
3,8,0,1722490,1541170,41.026,77.805,9.54953E-09,0.2529477,3.707492E-07,644899
3,9,0,1725148,1545007,41.094,77.873,9.54953E-09,0.2529477,3.707492E-07,647081
3,10,0,1724952,1545422,41.097,77.876,9.54953E-09,0.2529477,3.707492E-07,643903
,,,,,,,,,,
4,0,0,1714541,1529700,40.836,89.282,9.549531E-09,0.2529477,3.707492E-07,558805
4,1,0,1745940,1558710,41.322,89.769,9.54953E-09,0.2529477,3.707492E-07,540192
4,2,0,1746151,1558667,41.323,89.77,9.54953E-09,0.2529477,3.707492E-07,540647
4,3,0,1745371,1562607,41.397,89.844,9.54953E-09,0.2529477,3.707492E-07,545428
4,4,0,1748423,1561474,41.375,89.822,9.54953E-09,0.2529477,3.707492E-07,573306
4,5,0,1759791,1575152,41.556,90.003,9.54953E-09,0.2529477,3.707492E-07,545462
4,6,0,1748568,1561567,41.377,89.824,9.549531E-09,0.2529477,3.707492E-07,541936
4,7,0,1745566,1562633,41.399,89.846,9.54953E-09,0.2529477,3.707492E-07,558644
4,8,0,1761519,1577267,41.595,90.042,9.54953E-09,0.2529477,3.707492E-07,547638
4,9,0,1753876,1570318,41.558,90.004,9.54953E-09,0.2529477,3.707492E-07,563048
4,10,0,1750993,1567370,41.499,89.946,9.54953E-09,0.2529477,3.707492E-07,581723
,,,,,,,,,,
5,0,0,1707386,1511616,40.527,100.642,9.549531E-09,0.2529477,3.707492E-07,467000
5,1,0,1755536,1563511,41.375,101.49,9.549531E-09,0.2529477,3.707492E-07,519659
5,2,0,1769176,1576650,41.604,101.718,9.54953E-09,0.2529477,3.707492E-07,512106
5,3,0,1755401,1563800,41.378,101.492,9.54953E-09,0.2529477,3.707492E-07,487082
5,4,0,1755422,1560967,41.342,101.457,9.54953E-09,0.2529477,3.707492E-07,486501
5,5,0,1755173,1561388,41.345,101.46,9.54953E-09,0.2529477,3.707492E-07,490456
5,6,0,1755133,1561449,41.346,101.46,9.54953E-09,0.2529477,3.707492E-07,487571
5,7,0,1754787,1563403,41.37,101.484,9.54953E-09,0.2529477,3.707492E-07,488081
5,8,0,1764350,1569117,41.475,101.589,9.54953E-09,0.2529477,3.707492E-07,487102
5,9,0,1755142,1564113,41.381,101.496,9.54953E-09,0.2529477,3.707492E-07,505240
5,10,0,1755212,1561419,41.346,101.46,9.54953E-09,0.2529477,3.707492E-07,486075
,,,,,,,,,,
6,0,0,1713957,1542621,40.927,112.709,9.549531E-09,0.2529477,3.707492E-07,454125
6,1,0,1764376,1599002,41.861,113.643,9.549531E-09,0.2529477,3.707492E-07,464120
6,2,0,1768439,1601421,41.915,113.698,9.549531E-09,0.2529477,3.707492E-07,478956
6,3,0,1772962,1599245,41.874,113.656,9.54953E-09,0.2529477,3.707492E-07,454996
6,4,0,1768476,1601429,41.916,113.698,9.54953E-09,0.2529477,3.707492E-07,488530
6,5,0,1779633,1604807,41.994,113.777,9.54953E-09,0.2529477,3.707492E-07,465449
6,6,0,1767229,1600746,41.898,113.68,9.549531E-09,0.2529477,3.707492E-07,498058
6,7,0,1768505,1601431,41.916,113.698,9.549531E-09,0.2529477,3.707492E-07,479209
6,8,0,1763672,1608742,41.936,113.719,9.54953E-09,0.2529477,3.707492E-07,464093
6,9,0,1773088,1599621,41.88,113.662,9.54953E-09,0.2529477,3.707492E-07,473025
6,10,0,1768632,1602075,41.925,113.707,9.549531E-09,0.2529477,3.707492E-07,463338
,,,,,,,,,,
7,0,0,1762681,1604313,41.889,125.339,9.54953E-09,0.2529477,3.707492E-07,443210
7,1,0,1779652,1623792,42.196,125.646,9.549531E-09,0.2529477,3.707492E-07,432959
7,2,0,1788740,1629162,42.334,125.784,9.549531E-09,0.2529477,3.707492E-07,447815
7,3,0,1781118,1624007,42.211,125.661,9.549531E-09,0.2529477,3.707492E-07,430382
7,4,0,1776596,1621055,42.146,125.597,9.549531E-09,0.2529573,3.707492E-07,430187
7,5,0,1782289,1624359,42.225,125.675,9.549531E-09,0.2529477,3.707492E-07,437630
7,6,0,1782602,1625773,42.244,125.694,9.54953E-09,0.2529573,3.707492E-07,443255
7,7,0,1778333,1622752,42.18,125.631,9.549531E-09,0.2529477,3.707492E-07,431047
7,8,0,1781622,1627293,42.254,125.704,9.54953E-09,0.205778,3.707492E-07,436807
7,9,0,1795104,1646330,42.598,126.048,9.549531E-09,0.2529477,3.707492E-07,436909
7,10,0,1779734,1624566,42.206,125.656,9.54953E-09,0.2529573,3.707492E-07,449749
,,,,,,,,,,
8,0,0,1794666,1652154,42.679,137.797,9.549531E-09,0.2529477,3.707492E-07,439560
8,1,0,1796882,1656608,42.741,137.859,9.549531E-09,0.2529477,3.707492E-07,421686
8,2,0,1796602,1655850,42.73,137.848,9.549531E-09,0.2529476,3.707492E-07,451980
8,3,0,1798989,1653404,42.706,137.824,9.549531E-09,0.2529477,3.707492E-07,429856
8,4,0,1804904,1660348,42.81,137.928,9.549531E-09,0.2529477,3.707492E-07,425380
8,5,0,1798499,1653538,42.703,137.821,9.549531E-09,0.2529477,3.707492E-07,442320
8,6,0,1818446,1669868,42.973,138.091,9.549531E-09,0.2529573,3.707492E-07,436772
8,7,0,1810508,1666139,42.916,138.034,9.549531E-09,0.2529477,3.707492E-07,430475
8,8,0,1808275,1662775,42.859,137.977,9.549531E-09,0.2529477,3.707492E-07,419582
8,9,0,1806009,1662732,42.846,137.964,9.549531E-09,0.2529573,3.707492E-07,450030
8,10,0,1799820,1657162,42.756,137.874,9.549531E-09,0.2529477,3.707492E-07,430419
,,,,,,,,,,
9,0,0,1815453,1672834,42.926,149.711,9.54953E-09,0.2529477,3.707492E-07,428836
9,1,0,1845862,1703902,43.49,150.276,9.549531E-09,0.2529573,3.707492E-07,414818
9,2,0,1807416,1664776,42.772,149.557,9.54953E-09,0.2529573,3.707492E-07,426001
9,3,0,1810375,1667155,42.817,149.603,9.549531E-09,0.205778,3.707492E-07,427382
9,4,0,1808156,1667919,42.802,149.588,9.54953E-09,0.2529477,3.707492E-07,409216
9,5,0,1811353,1673205,42.904,149.69,9.54953E-09,0.2529477,3.707492E-07,409715
9,6,0,1812195,1669694,42.86,149.646,9.549531E-09,0.2529573,3.707492E-07,392788
9,7,0,1813669,1672622,42.907,149.693,9.54953E-09,0.2529476,3.707492E-07,427852
9,8,0,1807737,1666143,42.791,149.576,9.54953E-09,0.2529477,3.707492E-07,424719
9,9,0,1810906,1668395,42.836,149.622,9.54953E-09,0.2529477,3.707492E-07,426482
9,10,0,1816391,1678422,43.007,149.793,9.54953E-09,0.2529477,3.707492E-07,410441
,,,,,,,,,,
10,0,0,1810973,1667694,42.821,161.275,9.54953E-09,0.2529477,3.707492E-07,407823
10,1,0,1832250,1691991,43.227,161.68,9.54953E-09,0.2529476,3.707492E-07,400701
10,2,0,1821423,1679043,43.003,161.457,9.549531E-09,0.2529476,3.707492E-07,412114
10,3,0,1822791,1673238,42.936,161.39,9.549531E-09,0.2529477,3.707492E-07,404324
10,4,0,1810808,1666928,42.811,161.264,9.549531E-09,0.2529477,3.707492E-07,389321
10,5,0,1827600,1685110,43.107,161.56,9.54953E-09,0.2529476,3.707492E-07,394463
10,6,0,1825291,1676805,42.987,161.44,9.54953E-09,0.2529573,3.707492E-07,407168
10,7,0,1815061,1670309,42.878,161.332,9.54953E-09,0.2529573,3.707492E-07,390565
10,8,0,1810818,1667521,42.818,161.272,9.54953E-09,0.2529477,3.707492E-07,392382
10,9,0,1815072,1670374,42.879,161.333,9.549531E-09,0.2529573,3.707492E-07,388875
